official_name,short_name,platform_official_name,release_date,series_universe
Ultima IV: Quest of the Avatar,Ultima IV,Sega Master System,1990-01-01,Ultima
Voyage - a Sorceress Vacation,Voyage,Sega Master System,2021-02-22,Voyage - a Sorceress Vacation
Wimbledon,Wimbledon,Sega Master System,1992-07-16,Wimbledon
Winter Olympics Lillehammer '94 [Série Limitée],Winter Olympics,Sega Master System,1994-01-01,Olympics
Wonder Boy in Monster Land,Wonder Boy in Monster Land,Sega Master System,1988-08-01,Wonder Boy
Wonder Boy in Monster World,Wonder Boy in Monster World,Sega Master System,1993-08-01,Wonder Boy
World Class Leader Board,World Class Leader Board,Sega Master System,1991-01-01,World Class Leader Board
World Cup USA 94 [Série Limitée],World Cup USA 94 [Série Limitée],Sega Master System,1993-01-01,World Cup
World Grand Prix,World Grand Prix,Sega Master System,1987-11-01,World Grand Prix
World Soccer,World Soccer,Sega Master System,1987-10-01,World Soccer
World Soccer (Edizione Speciale),World Soccer,Sega Master System,1990-01-01,World Soccer
Xenon 2: Megablast,Xenon 2,Sega Master System,1991-10-01,Xenon
XSpelunker,XSpelunker,Sega Master System,2017-05-05,XSpelunker
76 in 1 (bootleg),76 in 1 (bootleg),Nintendo Entertainment System,1996-01-19,76 in 1 (bootleg)
Adventure of Link,Adventure of Link,Nintendo Entertainment System,1988-12-01,The Legend of Zelda
Balloon Fight,Balloon Fight,Nintendo Entertainment System,1986-12-15,Balloon Fight
Battletoads,Battletoads,Nintendo Entertainment System,1993-02-18,Battletoads
Clu Clu Land,Clu Clu Land,Nintendo Entertainment System,1987-02-15,Clu Clu Land
D'veel'ng,D'veel'ng,Nintendo Entertainment System,2015-05-05,D'veel'ng
Devil World,Devil World,Nintendo Entertainment System,1987-07-15,Devil World
DIE SCHLUMPFE,DIE SCHLUMPFE,Nintendo Entertainment System,1994-01-01,DIE SCHLUMPFE
Donkey Kong,Donkey Kong,Nintendo Entertainment System,1986-10-15,Donkey Kong
Donkey Kong 3,Donkey Kong 3,Nintendo Entertainment System,1987-09-01,Donkey Kong
Donkey Kong acarde classic the original,Donkey Kong acarde classic the original,Nintendo Entertainment System,1981-11-01,Donkey Kong
Donkey Kong Jr.,Donkey Kong Jr.,Nintendo Entertainment System,1987-06-15,Donkey Kong.
Duck Hunt,Duck Hunt,Nintendo Entertainment System,1987-08-15,Duck Hunt
Excitebike,Excitebike,Nintendo Entertainment System,1986-09-01,Excitebike
Formula 1 Sensation,Formula 1,Nintendo Entertainment System,1993-01-29,Formula 1
Golf,Golf,Nintendo Entertainment System,1986-11-15,Golf
Gumshoe,Gumshoe,Nintendo Entertainment System,1988-05-15,Gumshoe
